"row_id","x","y","z","Mvir","Mtot"
202,35.1874,31.5134,27.8462,1777900000000,1795900000000
203,12.5878,26.0354,31.4791,1776200000000,1954300000000
204,34.8114,34.9391,5.374,1760600000000,1887800000000
205,4.7591,3.2231,0.0679,1731000000000,1741700000000
206,5.6094,13.5336,25.4617,1728600000000,1750700000000
207,13.2615,37.8516,4.1978,1721200000000,1745700000000
208,31.3753,13.3998,35.4152,1713800000000,1732400000000
209,30.9315,11.975,19.0466,1709300000000,1742900000000
210,5.8658,3.5223,5.9256,1702600000000,1706300000000
211,27.6082,9.248,2.6809,1694900000000,1702300000000
212,12.7089,0.3368,34.155,1694700000000,1714200000000
213,0.2734,27.5475,21.2537,1693500000000,1695200000000
214,17.8715,33.698,28.9844,1652100000000,1679500000000
215,28.7727,5.16,7.4624,1647600000000,1665900000000
216,26.7181,20.5574,15.2591,1646800000000,1743800000000
217,33.1514,32.3715,22.6182,1631500000000,1636400000000
218,36.6877,18.5848,22.0094,1628200000000,1640800000000
219,13.8144,3.6186,9.241,1624200000000,1665700000000
220,39.4766,13.3079,23.1896,1616000000000,1669000000000
221,30.8626,23.1008,32.9596,1604200000000,1606500000000
222,10.1861,25.2321,21.7039,1596500000000,4698900000000
223,3.9285,27.9923,24.7208,1595800000000,1605000000000
224,11.7225,1.9671,9.5435,1586500000000,1654700000000
225,9.0202,38.5914,21.5924,1582800000000,1585500000000
226,25.2575,14.0072,5.992,1577400000000,2285600000000
227,21.015,31.5773,12.2804,1571800000000,1572900000000
228,9.7143,36.1333,37.6396,1563500000000,1595500000000
229,7.8298,28.4723,27.4007,1548700000000,1556600000000
230,31.7327,38.5093,19.859,1548300000000,1591200000000
231,21.7741,38.6646,32.413,1540800000000,1542500000000
232,33.4217,31.7478,24.8496,1539400000000,1673300000000
233,9.7097,36.5523,15.3179,1538500000000,1538500000000
234,16.5078,31.1812,11.2788,1526300000000,1543800000000
235,1.84,3.1543,26.6454,1524900000000,1542100000000
236,16.7932,10.7993,9.5058,1520200000000,1526600000000
237,12.3029,18.5457,11.7489,1519600000000,1562500000000
238,9.6629,22.5509,13.5966,1519400000000,1778100000000
239,11.1106,29.4664,39.6114,1516300000000,1542100000000
240,33.432,34.7751,22.9918,1513600000000,1543000000000
241,34.786,11.3197,2.3541,1512500000000,1562100000000
242,29.6654,36.5644,21.1904,1504300000000,1515400000000
243,29.8968,15.4351,30.666,1487400000000,1490600000000
244,18.3618,20.3604,14.6596,1466300000000,1475000000000
245,13.5847,16.1674,32.4533,1466100000000,1469900000000
246,13.4807,17.1338,11.966,1462900000000,1480900000000
247,6.6815,0.0818,39.7491,1461500000000,1461800000000
248,25.4979,14.5843,37.6109,1460900000000,1473400000000
249,33.9499,22.5246,34.63,1451400000000,1490000000000
250,20.3523,12.2921,9.6814,1431000000000,1856800000000
251,7.9698,1.2662,18.1407,1420400000000,1421500000000
252,26.3003,27.9654,26.5772,1419800000000,1427900000000
