"row_id","x","y","z","Mvir","Mtot"
108,49.7588,74.0819,35.7218,2944700000000,2952700000000
109,49.5167,190.0244,94.9024,2931300000000,3181900000000
110,49.6364,221.9416,184.3522,2909600000000,2975800000000
111,49.9133,77.398,62.8665,2892100000000,2897100000000
112,49.5387,131.2652,188.4901,2884900000000,2983100000000
113,49.2261,55.4378,105.7317,2858800000000,4258900000000
114,49.437,150.872,52.7436,2849800000000,3405100000000
115,49.8309,165.0637,91.5051,2827800000000,3717800000000
116,49.067,229.4239,209.5408,2815600000000,2835100000000
117,49.7098,111.248,21.2697,2814700000000,2850600000000
118,49.165,235.1413,204.9527,2813700000000,2814700000000
119,49.1046,208.3538,0.6335,2808500000000,2855700000000
120,49.563,198.4066,189.2984,2746000000000,2759000000000
121,49.2858,210.6564,80.4155,2737300000000,4266200000000
122,49.8133,141.4027,178.9169,2730800000000,3157900000000
123,49.1565,171.8661,209.5186,2659100000000,2669500000000
124,49.68,160.6453,131.6384,2631600000000,2707700000000
125,49.7744,178.8396,54.4999,2619400000000,2723500000000
126,49.7472,241.0997,171.504,2585000000000,3930400000000
127,49.0501,179.2071,82.6693,2561000000000,2585900000000
128,49.6611,53.7835,106.3353,2546600000000,2587900000000
129,49.0601,187.7964,226.6419,2546300000000,2584200000000
130,49.4688,176.5453,97.9288,2522700000000,2910400000000
131,49.1542,177.3107,80.3625,2520800000000,2680100000000
132,49.7411,105.1835,231.9792,2518400000000,2581300000000
133,49.7156,22.8818,231.701,2498700000000,2596600000000
134,49.3289,134.0996,229.3968,2487800000000,2490000000000
135,49.5583,179.8414,23.575,2476700000000,2482600000000
136,49.5703,140.1832,38.1261,2473400000000,2756400000000
137,49.6775,106.592,89.6215,2441600000000,2442100000000
138,49.9104,1.9086,224.1046,2421700000000,2492900000000
139,49.6094,127.1766,24.9943,2419600000000,9400700000000
140,49.0029,20.9267,225.3225,2413400000000,2491100000000
141,49.4351,217.0009,95.1636,2401100000000,2505800000000
142,49.1404,44.6731,75.1845,2372500000000,2539600000000
143,49.2374,167.527,85.8891,2362600000000,4442700000000
144,49.9748,103.3636,181.2224,2339200000000,2397200000000
145,49.8312,51.7364,56.131,2316700000000,2400000000000
146,49.4763,124.1357,187.4792,2289200000000,2556000000000
147,49.4841,159.5871,223.1414,2284000000000,2319100000000
148,49.7492,200.9897,211.6739,2255100000000,2324200000000
149,49.8767,3.1008,102.9768,2243600000000,2451700000000
150,49.3438,116.4043,232.8618,2234100000000,2404500000000
151,49.6234,176.3718,207.0361,2220200000000,2222100000000
152,49.1846,145.1996,199.1149,2192300000000,2241400000000
153,49.2725,61.8731,30.2313,2176700000000,2176700000000
154,49.3272,216.3938,191.1884,2150800000000,2208700000000
155,49.2065,204.4487,203.1732,2141300000000,2146400000000
156,49.698,241.2806,48.9501,2123300000000,2145800000000
157,49.6665,66.9039,173.4659,2116400000000,2171400000000
158,49.3287,63.2034,67.0671,2085400000000,2356100000000
159,49.2713,195.4859,90.6899,2079200000000,2158800000000
160,49.7059,49.3737,62.7492,2049700000000,2083500000000
161,49.4663,188.2338,226.9547,2032700000000,2234500000000
162,49.1513,117.5619,25.7612,2029300000000,2031600000000
163,49.0788,173.941,205.8265,2025900000000,2039400000000
164,49.2754,209.7003,1.8183,2023400000000,2094200000000
165,49.5864,45.8204,17.5503,2005400000000,2100000000000
166,49.3078,176.8896,230.2212,1972300000000,1992700000000
167,49.1497,118.8866,63.2851,1927200000000,1954600000000
168,49.456,240.086,134.0978,1897700000000,1898200000000
169,49.1905,230.7273,214.4309,1889500000000,1933800000000
170,49.4991,20.601,117.4972,1877900000000,1926400000000
171,49.3046,139.8926,36.7579,1875600000000,1918800000000
172,49.788,188.6758,71.8419,1865000000000,1869200000000
173,49.4634,140.9094,179.5804,1858000000000,1921000000000
174,49.0938,174.5639,163.3191,1830300000000,1830300000000
175,49.7695,126.9544,24.819,1826400000000,4548400000000
176,49.8656,166.9799,85.6332,1811200000000,2556300000000
177,49.9652,203.8174,6.1013,1804300000000,1814700000000
178,49.3208,76.0667,200.5324,1802600000000,1887200000000
179,49.072,212.071,194.3093,1794000000000,1981100000000
180,49.2681,68.307,175.9813,1786000000000,2141000000000
181,49.7589,190.4927,28.2555,1782700000000,1788200000000
182,49.0403,178.4099,118.6588,1770200000000,2448500000000
183,49.3772,145.5704,198.9272,1767900000000,1942500000000
184,49.8148,134.6267,184.8274,1767200000000,1776100000000
185,49.0029,176.5865,187.3273,1766300000000,1801600000000
186,49.9818,57.3692,192.3189,1757600000000,1771100000000
187,49.6899,176.9359,73.9036,1753000000000,1812500000000
188,49.7834,83.5013,58.7079,1752400000000,1920200000000
189,49.9375,46.1079,167.2447,1750800000000,1789100000000
190,49.3376,136.5109,180.9396,1746800000000,1814500000000
191,49.0933,181.304,231.1707,1728300000000,1728700000000
192,49.7964,75.8256,77.4755,1724500000000,1789200000000
193,49.6405,177.8161,207.8681,1704600000000,1713000000000
194,49.1993,32.6602,11.2059,1694900000000,1701800000000
195,49.8892,13.2295,69.777,1688500000000,1693000000000
196,49.5325,214.883,177.6636,1687900000000,1861300000000
197,49.9668,209.0012,118.916,1681400000000,1728300000000
198,49.4522,189.1523,208.6154,1671900000000,1680000000000
199,49.4445,44.5963,193.8325,1653300000000,1661600000000
200,49.5315,109.3953,12.5283,1652100000000,1688400000000
201,49.8368,181.5945,164.2229,1637500000000,1664500000000
202,49.69,33.3504,155.4432,1635500000000,1672100000000
203,49.5,37.0941,103.3709,1618900000000,1707300000000
204,49.7983,73.5017,51.1454,1613800000000,1632100000000
205,49.5249,210.6685,80.4526,1605100000000,8546200000000
206,49.9665,19.2456,103.8212,1603000000000,1604200000000
207,49.2116,47.8478,22.8762,1579900000000,1874800000000
208,49.543,106.2177,239.9767,1578500000000,1600000000000
209,49.7524,177.0633,74.6044,1573500000000,1613500000000
210,49.2857,169.5251,214.344,1570300000000,1773900000000
211,49.0113,40.4023,132.9428,1558800000000,1751600000000
212,49.0183,119.3919,230.2403,1547000000000,1592900000000
213,49.7888,175.3904,114.3319,1544200000000,1610300000000
214,49.9252,181.0885,110.6146,1531700000000,1532500000000
215,49.651,49.033,152.8864,1528400000000,1549800000000
216,49.1959,199.1,208.3968,1526400000000,8260000000000
217,49.5347,33.0036,155.7776,1523500000000,3808900000000
218,49.5711,108.9388,37.8117,1523000000000,1546900000000
219,49.2261,165.727,91.5666,1519100000000,4656700000000
220,49.9814,34.5403,98.5963,1516300000000,1529400000000
221,49.7542,192.075,210.4137,1516200000000,1530800000000
222,49.7774,163.9619,92.1622,1515300000000,2735500000000
223,49.1476,175.2204,43.8384,1515100000000,1518100000000
224,49.3828,48.7161,140.4727,1511900000000,1511900000000
225,49.2455,12.2721,199.7719,1504400000000,1531100000000
226,49.0352,126.0447,230.931,1490900000000,1498200000000
227,49.1132,205.7551,114.8814,1489700000000,1494500000000
228,49.2187,118.262,209.1936,1486600000000,1530600000000
229,49.8134,5.3103,198.5213,1483300000000,1515400000000
230,49.6392,215.9591,98.6921,1469200000000,1480900000000
231,49.356,174.7831,234.2005,1468200000000,1478400000000
232,49.9493,37.1298,106.7606,1467200000000,1509500000000
233,49.7076,196.6519,189.7822,1458900000000,1471100000000
234,49.7233,52.7221,105.0496,1457800000000,1551100000000
235,49.2898,109.19,22.4765,1451700000000,1454500000000
236,49.8783,69.0371,109.5863,1449100000000,1567800000000
237,49.7155,112.0757,53.1204,1430300000000,1432200000000
238,49.4725,30.1299,106.76,1428600000000,1460200000000
239,49.9507,130.9611,177.3053,1415900000000,1498800000000
240,49.4178,57.2857,191.1243,1412100000000,1418100000000
241,49.863,217.5895,131.2534,1403500000000,1403800000000
242,49.8992,184.7217,102.0975,1396200000000,1405400000000
243,49.785,224.6806,210.6787,1391000000000,1392800000000
244,49.6833,48.4803,71.5965,1385400000000,1441000000000
245,49.1493,54.44,106.415,1377800000000,1404800000000
246,49.7461,49.917,104.3143,1364900000000,1381100000000
247,49.5903,70.5508,165.5161,1348400000000,1353500000000
248,49.7908,208.9305,242.217,1313600000000,1519800000000
249,49.8775,234.2708,235.3677,1307500000000,1315200000000
250,49.072,39.3036,19.618,1304200000000,1305100000000
251,49.1919,217.3359,190.192,1298500000000,1351300000000
252,49.9024,197.6958,203.7516,1296300000000,1308500000000
253,49.8785,190.0313,1.7154,1286800000000,2531200000000
254,49.5379,130.0836,68.3848,1280600000000,1288400000000
255,49.5727,151.3734,38.3021,1279400000000,1341900000000
256,49.9992,248.1763,216.1537,1277400000000,1292700000000
257,49.1883,8.2639,164.2883,1275100000000,1277400000000
258,49.7937,182.55,120.0845,1272600000000,1273200000000
259,49.2771,95.5758,113.1479,1272300000000,1272700000000
260,49.4517,14.2117,241.8706,1267800000000,1270100000000
261,49.2659,199.5477,207.3506,1264500000000,6475300000000
262,49.3067,169.0822,70.2398,1259300000000,1262500000000
263,49.5114,216.4335,191.7194,1258300000000,1296400000000
264,49.9464,238.2721,38.8264,1255500000000,1318000000000
265,49.9668,86.4587,58.2403,1247200000000,1286500000000
266,49.4444,41.579,239.4837,1245500000000,1245500000000
267,49.2367,150.7992,136.5582,1231700000000,1283700000000
268,49.4675,189.3752,205.9499,1228900000000,6844700000000
269,49.0619,72.9366,82.2106,1223300000000,1224100000000
270,49.732,144.1051,22.0497,1219700000000,1229000000000
271,49.3233,76.4388,15.4351,1207000000000,1207300000000
272,49.719,204.2831,4.9199,1204900000000,2313200000000
273,49.229,17.151,249.7928,1200700000000,1786300000000
274,49.5269,164.7263,94.1291,1186600000000,1289500000000
275,49.1408,0.121,15.6112,1180400000000,1194200000000
276,49.7033,71.4603,74.4952,1165500000000,1165500000000
277,49.3878,67.0765,111.8663,1163800000000,1170500000000
278,49.9658,189.0573,205.7418,1162600000000,1234600000000
279,49.9794,175.9328,76.4892,1162100000000,1186100000000
280,49.4684,184.1077,109.9058,1159600000000,1233100000000
281,49.9137,204.3817,81.3837,1157800000000,1283000000000
282,49.352,162.3712,104.0266,1155900000000,1211400000000
283,49.5645,166.2613,91.8813,1141800000000,3056700000000
284,49.621,199.0211,207.251,1137600000000,6532000000000
285,49.7256,239.5652,39.5833,1135600000000,1137800000000
286,49.7608,182.0684,183.1196,1132000000000,1133600000000
287,49.161,237.2921,187.7274,1130000000000,1147700000000
288,49.2326,169.0545,71.68,1128200000000,1137500000000
289,49.0339,164.4885,95.3482,1126900000000,1150800000000
290,49.0104,89.7908,195.229,1125700000000,1128200000000
291,49.3648,13.0912,17.0802,1113000000000,1122100000000
292,49.7424,61.557,121.7411,1107500000000,1177700000000
293,49.1005,192.2703,208.4039,1106600000000,1128000000000
294,49.376,37.6438,107.7789,1099600000000,1110200000000
295,49.6128,101.2763,9.4601,1096200000000,1101800000000
296,49.1506,73.5011,71.1159,1091700000000,1111900000000
297,49.2335,162.3923,130.0849,1089900000000,2571000000000
298,49.5938,145.1749,48.1676,1087700000000,1133300000000
299,49.1997,179.8985,22.8356,1084900000000,1110000000000
300,49.2393,173.5648,95.6582,1080700000000,1134500000000
301,49.796,113.2852,216.9622,1079500000000,1126900000000
302,49.4086,178.3609,118.7563,1078600000000,2772200000000
303,49.2759,248.3847,37.7827,1077500000000,1102600000000
304,49.9172,203.7547,66.8829,1077000000000,1082800000000
305,49.4764,126.9087,199.3038,1073900000000,1074100000000
306,49.0154,112.5012,111.2634,1072100000000,1108300000000
307,49.1616,191.2066,2.0151,1071400000000,1077200000000
308,49.6614,44.7382,136.6899,1068000000000,1070500000000
309,49.4694,13.9376,228.8348,1067100000000,1072500000000
310,49.5179,239.3523,195.792,1054200000000,1060900000000
